ESCOLARIDAD,TIPO_VIVIENDA,Edad,RangoEdad,CLIENTE_CDE,SEGMENTO_CLIENTE,COMPROBANTE_INGRESOS,APROBACION_TC,Producto
LICENCIATURA,PROPIA,58,adulto mayor,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CREDITO_AUTO
LICENCIATURA,HIPOTECA,35,adulto joven,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,35,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,35,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,58,adulto mayor,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CREDITO_AUTO
POSGRADO,PROPIA,46,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,HIPOTECA,42,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
POSGRADO,RENTA,58,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,HIPOTECA,58,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
POSGRADO,FAMILIARES,40,adulto maduro,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,59,adulto mayor,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
PREPARATORIA,RENTA,57,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,RENTA,57,adulto mayor,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
POSGRADO,HIPOTECA,43,adulto maduro,NO_CLIENTE,ALTO_A,INVERSIONES,APROBADO,TARJETA_ORO
PREPARATORIA,FAMILIARES,36,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
LICENCIATURA,HIPOTECA,58,adulto mayor,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
POSGRADO,FAMILIARES,42,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
LICENCIATURA,FAMILIARES,46,adulto maduro,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
LICENCIATURA,FAMILIARES,58,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
SECUNDARIA,RENTA,50,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
LICENCIATURA,HIPOTECA,29,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
PREPARATORIA,PROPIA,38,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
POSGRADO,RENTA,54,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
POSGRADO,HIPOTECA,27,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
PREPARATORIA,FAMILIARES,50,adulto maduro,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,TARJETA_ORO
LICENCIATURA,HIPOTECA,44,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
POSGRADO,FAMILIARES,29,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
POSGRADO,PROPIA,51,adulto mayor,NO_CLIENTE,MEDIO_B,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
PREPARATORIA,PROPIA,31,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,TARJETA_ORO
LICENCIATURA,FAMILIARES,28,adulto joven,NO_CLIENTE,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,RENTA,47,adulto maduro,NO_CLIENTE,MEDIO_B,DECLARACION ANUAL,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,49,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,49,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,RENTA,32,adulto joven,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,49,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,36,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,PROPIA,27,adulto joven,CLIENTE_BANCO,ALTO_B,INVERSIONES,APROBADO,CLASICA
LICENCIATURA,PROPIA,32,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,FAMILIARES,42,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,34,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,56,adulto mayor,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,52,adulto mayor,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,HIPOTECA,37,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
PREPARATORIA,PROPIA,57,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,FAMILIARES,59,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,26,adulto joven,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,56,adulto mayor,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CLASICA
PREPARATORIA,RENTA,60,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,56,adulto mayor,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,28,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,RENTA,57,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,FAMILIARES,33,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,54,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,RENTA,48,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,FAMILIARES,37,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,44,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,FAMILIARES,38,adulto maduro,CLIENTE_BANCO,MEDIO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,FAMILIARES,26,adulto joven,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,RENTA,59,adulto mayor,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,FAMILIARES,33,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,27,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,56,adulto mayor,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,53,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,33,adulto joven,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,56,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,56,adulto mayor,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,56,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,PROPIA,30,adulto joven,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,PROPIA,54,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,56,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,RENTA,32,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,33,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,FAMILIARES,53,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,33,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,33,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,FAMILIARES,37,adulto maduro,CLIENTE_BANCO,ALTO_B,INVERSIONES,APROBADO,CLASICA
PREPARATORIA,PROPIA,49,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,RENTA,46,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,RENTA,59,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,PROPIA,51,adulto mayor,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,55,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,PROPIA,31,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,HIPOTECA,25,joven,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CLASICA
POSGRADO,PROPIA,27,adulto joven,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,46,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,38,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,32,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,51,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,46,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,PROPIA,55,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,36,adulto maduro,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CLASICA
POSGRADO,RENTA,47,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,FAMILIARES,58,adulto mayor,NO_CLIENTE,MEDIO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,26,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,RENTA,51,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,HIPOTECA,55,adulto mayor,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,27,adulto joven,NO_CLIENTE,MEDIO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
SECUNDARIA,FAMILIARES,42,adulto maduro,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CLASICA
POSGRADO,HIPOTECA,46,adulto maduro,NO_CLIENTE,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,55,adulto mayor,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,37,adulto maduro,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,PROPIA,27,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
SECUNDARIA,FAMILIARES,25,joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,25,joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,HIPOTECA,58,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,FAMILIARES,59,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,FAMILIARES,31,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,46,adulto maduro,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,RENTA,35,adulto joven,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,PROPIA,40,adulto maduro,NO_CLIENTE,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,FAMILIARES,53,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,PROPIA,59,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,RENTA,50,adulto maduro,NO_CLIENTE,MEDIO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,FAMILIARES,57,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,FAMILIARES,55,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,PROPIA,31,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,PROPIA,47,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,RENTA,42,adulto maduro,NO_CLIENTE,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,PROPIA,27,adulto joven,NO_CLIENTE,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,46,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,46,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,FAMILIARES,44,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,25,joven,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,RENTA,38,adulto maduro,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,32,adulto joven,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,58,adulto mayor,NO_CLIENTE,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,RENTA,31,adulto joven,NO_CLIENTE,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,FAMILIARES,38,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,RENTA,48,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,RENTA,34,adulto joven,NO_CLIENTE,MEDIO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,RENTA,51,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,RENTA,48,adulto maduro,NO_CLIENTE,MEDIO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,49,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,RENTA,60,adulto mayor,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,46,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,FAMILIARES,42,adulto maduro,NO_CLIENTE,MEDIO_B,INVERSIONES,APROBADO,CLASICA
PREPARATORIA,PROPIA,48,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,RENTA,29,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,FAMILIARES,40,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,PROPIA,29,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,RENTA,43,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,RENTA,54,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,FAMILIARES,54,adulto mayor,NO_CLIENTE,MEDIO_B,INVERSIONES,APROBADO,CLASICA
POSGRADO,HIPOTECA,42,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,51,adulto mayor,CLIENTE_BANCO,MEDIO_A,DECLARACION ANUAL,APROBADO,CLASICA
LICENCIATURA,PROPIA,43,adulto maduro,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,58,adulto mayor,NO_CLIENTE,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,45,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,54,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,PROPIA,28,adulto joven,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,RENTA,59,adulto mayor,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,43,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,FAMILIARES,52,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,RENTA,28,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,HIPOTECA,40,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,RENTA,43,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,HIPOTECA,52,adulto mayor,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,PROPIA,48,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
POSGRADO,RENTA,39,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CLASICA
LICENCIATURA,FAMILIARES,28,adulto joven,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CLASICA
PREPARATORIA,HIPOTECA,34,adulto joven,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CLASICA
LICENCIATURA,PROPIA,54,adulto mayor,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,CLASICA
PREPARATORIA,PROPIA,36,adulto maduro,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CLASICA
LICENCIATURA,PROPIA,58,adulto mayor,NO_CLIENTE,ALTO_A,INVERSIONES,APROBADO,CLASICA
SECUNDARIA,PROPIA,55,adulto mayor,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CLASICA
PREPARATORIA,PROPIA,41,adulto maduro,NO_CLIENTE,ALTO_A,INVERSIONES,APROBADO,CLASICA
POSGRADO,PROPIA,36,adulto maduro,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CLASICA
